Material Group,Material/Component,Unit,Component,Part,Material,Unitmass,Vehicle,Class,Hawkinsmass,Partmass
Polymers,Polyethylene,kg,"Inverter, for motor",evmotor,Polyethylene,4.182299868,evcar,Cars,3.9,0.002684402996
Electronics,Circuit boards,kg,"Inverter, for motor",evmotor,Circuitboard,0,evcar,Cars,0.2,
Electronics,Other electronic components,kg,"Inverter, for motor",evmotor,Electronic,0.1787307639,evcar,Cars,0.166666667,0.000114718077
Non-ferrous metals,Nuts and bolts,kg,"Inverter, for motor",evmotor,Steel,0.1787307639,evcar,Cars,0.166666667,0.000114718077
Non-ferrous metals,Aluminum,kg,"Inverter, for charging",evmotor,Aluminium,36.84498945,evcar,Cars,34.358,0.02364890209
Non-ferrous metals,Copper,kg,"Inverter, for charging",evmotor,Copper,38.01603342,evcar,Cars,35.45,0.02440053493
Polymers,Polyethylene,kg,"Inverter, for charging",evmotor,Polyethylene,4.182299868,evcar,Cars,3.9,0.002684402996
Electronics,Circuit boards,kg,"Inverter, for charging",evmotor,Circuitboard,0,evcar,Cars,0.2,
Electronics,Other electronic components,kg,"Inverter, for charging",evmotor,Electronic,0.1787307639,evcar,Cars,0.166666667,0.000114718077
Non-ferrous metals,Nuts and bolts,kg,"Inverter, for charging",evmotor,Steel,0.1787307639,evcar,Cars,0.166666667,0.000114718077
Non-ferrous metals,Aluminum,kg,Battery Passive Cooling System,evmotor,Aluminium,64.34307489,evcar,Cars,60,0.04129850763
Ferrous metals,"Steel, unspecified",kg,Battery Passive Cooling System,evmotor,Steel,21.44769163,evcar,Cars,20,0.01376616921
Ferrous metals,"Steel, unspecified",kg,Other Battery-Related Equipment/Hardware,evmotor,Steel,10.72384582,evcar,Cars,10,0.006883084606
Other,Paint,kg,Paint/Paint shop,interior,Paint,12.64706206,evcar,Cars,11.79340162,0.008117498114
Polymers,"Polypropylene, 25% Fiberglass (PP-GF25)",kg,Under body finisher,interior,Polypropylene,0.9286850476,evcar,Cars,0.866,0.0005960751268
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Bumper covers (4),interior,Polypropylene,0.5147445991,evcar,Cars,0.48,0.0003303880611
Polymers,Polypropylene (PP),kg,Wheel arc closures (4),interior,Polypropylene,4.109377716,evcar,Cars,3.832,0.002637598021
Polymers,"Nylon 66, 30% Mineral powder (PA66-MD30)",kg,Road wheel finishers (4),interior,Nylon,0.1758710714,evcar,Cars,0.164,0.0001128825875
Polymers,Ethylene propylene diene monomer (EPDM-TD10),kg,Bumpers (2),interior,EPDM,5.436989828,evcar,Cars,5.07,0.003489723895
Polymers,Polypropylene (PP),kg,Bumpers (2),interior,Polypropylene,5.436989828,evcar,Cars,5.07,0.003489723895
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Rear lamps (2),interior,ABS,0.9705080463,evcar,Cars,0.905,0.0006229191568
Polymers,Polymethyl methacrylate (PMMA),kg,Rear lamps (2),interior,Polymethylmethacrylate,0.9705080463,evcar,Cars,0.905,0.0006229191568
Polymers,Acrylonitrile styrene acrylate (ASA),kg,Radiator Grille,interior,ASA,0.2959781445,evcar,Cars,0.276,0.0001899731351
Ferous metals,Steel (GREET),kg,"Other, exterior trim (GREET data)",interior,Steel,0.4601584888,evcar,Cars,0.429098382,0.0002953520467
Polymers,Rubber (GREET),kg,"Other, exterior trim (GREET data)",interior,Rubber,0.160520403,evcar,Cars,0.149685482,0.0001030297837
Polymers,Rubber (GREET),kg,Sealers/deadeners,interior,Rubber,0.9651461234,evcar,Cars,0.9,0.0006194776145
Non-ferrous metals,Copper,kg,Exterior electrical (GREET data),interior,Copper,4.387557684,evcar,Cars,4.091403177,0.002816147422
Polymers,Other plastic (GREET),kg,Exterior electrical (GREET data),interior,Plastic,6.313802522,evcar,Cars,5.887628963,0.004052504828
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Centre console,interior,ABS,0.6262725956,evcar,Cars,0.584,0.000401972141
Polymers,Polypropylene ether (PE),kg,Dashboard,interior,Polypropylene,3.968895336,evcar,Cars,3.701,0.002547429612
Polymers,Polystyrene (PS),kg,Dashboard,interior,Polystyrene,3.968895336,evcar,Cars,3.701,0.002547429612
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Glove Box,interior,ABS,2.290613466,evcar,Cars,2.136,0.001470226872
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Air Duct,interior,Polypropylene,0.2552275304,evcar,Cars,0.238,0.0001638174136
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Steering Column Finisher,interior,Polypropylene,0.09651461234,evcar,Cars,0.09,0.00006194776145
Ferous metals,Steel (GREET),kg,"Other, Instrument panel (GREET data)",interior,Steel,11.85905281,evcar,Cars,11.05858198,0.007611715539
Non-ferrous metals,Wrought Aluminium,kg,"Other, Instrument panel (GREET data)",interior,Aluminium,0.2578054958,evcar,Cars,0.240403956,0.0001654720769
Non-ferrous metals,Magnesium,kg,"Other, Instrument panel (GREET data)",interior,Magnesium,0.2578054958,evcar,Cars,0.240403956,0.0001654720769
Polymers,Rubber (GREET),kg,"Other, Instrument panel (GREET data)",interior,Rubber,0.2578054958,evcar,Cars,0.240403956,0.0001654720769
Polymers,Polypropylene ether (PE),kg,B post finishers (2),interior,Polypropylene,0.2327074542,evcar,Cars,0.217,0.0001493629359
Polymers,Polypropylene (PP),kg,B post finishers (2),interior,Polypropylene,0.2327074542,evcar,Cars,0.217,0.0001493629359
Polymers,Polypropylene ether (PE),kg,C post finishers (2),interior,Polypropylene,0.4343157555,evcar,Cars,0.405,0.0002787649265
Polymers,Polypropylene (PP),kg,C post finishers (2),interior,Polypropylene,0.4343157555,evcar,Cars,0.405,0.0002787649265
Polymers,Polypropylene ether (PE),kg,Sill finishers (2),interior,Polypropylene,0.4343157555,evcar,Cars,0.405,0.0002787649265
Polymers,Polypropylene (PP),kg,Sill finishers (2),interior,Polypropylene,0.4343157555,evcar,Cars,0.405,0.0002787649265
Polymers,Polypropylene ether (PE),kg,A post finishers (2),interior,Polypropylene,0.4343157555,evcar,Cars,0.405,0.0002787649265
Polymers,Polypropylene (PP),kg,A post finishers (2),interior,Polypropylene,0.4343157555,evcar,Cars,0.405,0.0002787649265
Ferous metals,Steel (GREET),kg,"Other, Trim and Insulation (GREET data)",interior,Steel,7.03128008,evcar,Cars,6.556677708,0.00451301674
Non-ferrous metals,Wrought Aluminium,kg,"Other, Trim and Insulation (GREET data)",interior,Aluminium,0.02383484759,evcar,Cars,0.022226026,0.00001529836174
Polymers,Other plastic (GREET),kg,"Other, Trim and Insulation (GREET data)",interior,Plastic,12.94570823,evcar,Cars,12.07188956,0.008309183719
Polymers,Other plastic (GREET),kg,"Doors, including trunk lid, interior plastics etc.",interior,Plastic,12.86861498,evcar,Cars,12,0.008259701527
Polymers,Polyurethane (polyether type) (PUR-E),kg,Squab pads,interior,Polyurethane,3.752273651,evcar,Cars,3.499,0.002408391303
Polymers,Polyurethane (polyether type) (PUR-E),kg,Cushion pads,interior,Polyurethane,5.815541586,evcar,Cars,5.423,0.003732696782
Polymers,Polyethylene terephthalate (PET),kg,Seat Belts (2),interior,PET,0.4053613718,evcar,Cars,0.378,0.0002601805981
Polymers,Nylon 6 (PA6),kg,Height Controls (2),interior,Nylon,0.2852542987,evcar,Cars,0.266,0.0001830900505
Polymers,Polyurethane (polyether type) (PUR-E),kg,Head Rest Pads (4),interior,Polyurethane,0.5319027524,evcar,Cars,0.496,0.0003414009964
Ferous metals,Steel (GREET),kg,"Other, Seating and restraint (GREET data)",interior,Steel,37.24073352,evcar,Cars,34.72703185,0.02390290983
Polymers,Other plastic (GREET),kg,"Other, Seating and restraint (GREET data)",interior,Plastic,16.17709406,evcar,Cars,15.08516099,0.01038324394
Ferous metals,Rolled steel (MUSES),kg,HVAC (GREET),interior,Steel,6.648784406,evcar,Cars,6.2,0.004267512455
Ferous metals,EAF steel (MUSES),kg,HVAC (GREET),interior,Steel,0.1072384582,evcar,Cars,0.1,0.00006883084606
Ferous metals,Galvanized steel (MUSES),kg,HVAC (GREET),interior,Steel,5.683638282,evcar,Cars,5.3,0.003648034841
Ferous metals,Stainless steel (MUSES),kg,HVAC (GREET),interior,Steel,1.286861498,evcar,Cars,1.2,0.0008259701527
Non-ferrous metals,Cast Aluminium,kg,HVAC (GREET),interior,Aluminium,5.683638282,evcar,Cars,5.3,0.003648034841
Non-ferrous metals,Extruded aluminum (MUSES),kg,HVAC (GREET),interior,Aluminium,12.86861498,evcar,Cars,12,0.008259701527
Non-ferrous metals,Rolled aluminum (MUSES),kg,HVAC (GREET),interior,Aluminium,0.9651461234,evcar,Cars,0.9,0.0006194776145
Non-ferrous metals,Copper,kg,HVAC (GREET),interior,Copper,3.574254309,evcar,Cars,3.332996735,0.002294129852
Non-ferrous metals,Zinc,kg,HVAC (GREET),interior,Zinc,0.1070136016,evcar,Cars,0.099790321,0.00006868652223
Non-ferrous metals,Other metals,kg,HVAC (GREET),interior,Metal,0.8579076652,evcar,Cars,0.8,0.0005506467684
Polymers,Acrylonitrile butadiene styrene (ABS),kg,HVAC (GREET),interior,ABS,1.501338414,evcar,Cars,1.4,0.0009636318448
Polymers,Polypropylene ether (PE),kg,HVAC (GREET),interior,Polypropylene,4.289538326,evcar,Cars,4,0.002753233842
Polymers,Nylon 66 (PA66),kg,HVAC (GREET),interior,Nylon,0.2144769163,evcar,Cars,0.2,0.0001376616921
Polymers,Other plastic (GREET),kg,HVAC (GREET),interior,Plastic,10.72384582,evcar,Cars,10,0.006883084606
Polymers,Rubber (GREET),kg,HVAC (GREET),interior,Rubber,3.324392203,evcar,Cars,3.1,0.002133756228
Polymers,Extruded rubber (MUSES),kg,HVAC (GREET),interior,Rubber,0.9651461234,evcar,Cars,0.9,0.0006194776145
Other,Other,kg,HVAC (GREET),interior,Other,0.1498190429,evcar,Cars,0.13970645,0.00009616113153
Non-ferrous metals,Copper,kg,Interior electrical (GREET),interior,Copper,4.387557684,evcar,Cars,4.091403177,0.002816147422
Polymers,Other plastic (GREET),kg,Interior electrical (GREET),interior,Plastic,6.313802522,evcar,Cars,5.887628963,0.004052504828
Ferous metals,Steel (GREET),kg,Weld blanks and fasteners (interior to body) (GREET),interior,Steel,5.350680103,evcar,Cars,4.98951607,0.003434326125
Polymers,Other plastic (GREET),kg,Weld blanks and fasteners (interior to body) (GREET),interior,Plastic,5.350680103,evcar,Cars,4.98951607,0.003434326125
Polymers,"Nylon 6, 10% Glass fiber, 20% Minerals (PA6-(GF10+MX20))",kg,Engine Finisher,interior,Nylon,1.384448495,evcar,Cars,1.291,0.0008886062226
Polymers,High density polyethylene (PE-HD),kg,Wash Fluid Tank,interior,Polyethylene,0.6584441331,evcar,Cars,0.614,0.0004226213948
Polymers,"Nylon 66, 25% Glass fiber (PA66-GF25)",kg,Steering Oil Tank,interior,Nylon,0.2391417617,evcar,Cars,0.223,0.0001534927867
Polymers,Polypropylene ether (PE),kg,Brake Fluid Tank,interior,Polypropylene,0.06756022864,evcar,Cars,0.063,0.00004336343301
Polymers,Polypropylene (PP),kg,Brake Fluid Tank,interior,Polypropylene,0.06756022864,evcar,Cars,0.063,0.00004336343301
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Wheel Arc Finisher,interior,Polypropylene,1.679354255,evcar,Cars,1.566,0.001077891049
Polymers,Polypropylene (PP),kg,Load Space Finishers (2),interior,Polypropylene,1.816619481,evcar,Cars,1.694,0.001165994532
Polymers,Polypropylene ether (PE),kg,Latch Finisher,interior,Polypropylene,0.3378011432,evcar,Cars,0.315,0.0002168171651
Polymers,Polypropylene (PP),kg,Latch Finisher,interior,Polypropylene,0.3378011432,evcar,Cars,0.315,0.0002168171651
Polymers,Polypropylene ether (PE),kg,Tool Box,interior,Polypropylene,0.1651472256,evcar,Cars,0.154,0.0001059995029
Ferous metals,Steel,kg,"Brakes, hardware",brakes,Steel,11.3614814,evcar,Cars,10.594596,0.007292350063
Ferous metals,Cast iron,kg,"Brakes, hardware",brakes,Iron,19.47682525,evcar,Cars,18.16216457,0.01250117154
Friction Materials,Barium Sulfate,kg,"Brakes, friction material",brakes,Barium sulphate,1.42E-08,evcar,Cars,1.32E-08,9.09E-12
Friction Materials,Brass,kg,"Brakes, friction material",brakes,Brass,1.42E-09,evcar,Cars,1.32E-09,9.09E-13
Friction Materials,Aluminum Oxide,kg,"Brakes, friction material",brakes,Aluminium,1.42E-08,evcar,Cars,1.32E-08,9.09E-12
Friction Materials,Fibrous Glass,kg,"Brakes, friction material",brakes,Glassfibre,1.42E-08,evcar,Cars,1.32E-08,9.09E-12
Friction Materials,Phenol Formaldehyde Resin,kg,"Brakes, friction material",brakes,Resin,7.08E-09,evcar,Cars,6.60E-09,4.54E-12
Friction Materials,Silica sand,kg,"Brakes, friction material",brakes,Silica,0.8115343608,evcar,Cars,0.756756834,0.0005208821314
Friction Materials,Ceramic,kg,"Brakes, friction material",brakes,Ceramic,1.62306872,evcar,Cars,1.513513667,0.001041764262
Ferous metals,Steel,kg,Cradle,chassis,Steel,32.10408062,evcar,Cars,29.93709642,0.02060595675
Ferous metals,Steel,kg,Driveshaft/axle,chassis,Steel,79.28735061,evcar,Cars,73.93555631,0.05089046894
Ferous metals,Steel,kg,Corner suspension,chassis,Steel,43.77829175,evcar,Cars,40.8233133,0.02809903193
Ferous metals,Steel,kg,Steering system,chassis,Steel,19.06787818,evcar,Cars,17.7808209,0.01223868946
Non-ferrous metals,Wrought Aluminium,kg,Steering system,chassis,Aluminium,3.57522716,evcar,Cars,3.33390392,0.002294754275
Polymers,Rubber,kg,Steering system,chassis,Rubber,1.191742387,evcar,Cars,1.111301307,0.0007649180918
Non-ferrous metals,Copper,kg,Chassis electrical,chassis,Copper,4.387557684,evcar,Cars,4.091403177,0.002816147422
Polymers,Plastic,kg,Chassis electrical,chassis,Plastic,6.313802522,evcar,Cars,5.887628963,0.004052504828
Ferous metals,Steel,kg,Weld blanks and fasteners (chassis to body),chassis,Steel,10.70136021,evcar,Cars,9.97903214,0.00686865225
Ferous metals,galv steel,kg,Body-in-white,doors,Steel,226.5078179,evcar,Cars,211.2188312,0.1453837085
Scrap,"Scrap, galv steel",kg,Body-in-white,doors,Steel,47.59074686,evcar,Cars,44.37843259,0.03054605062
Ferous metals,Rolled steel,kg,Body panels,doors,Steel,20.50113043,evcar,Cars,19.11733046,0.0131586203
Ferous metals,EAF steel,kg,Body panels,doors,Steel,11.06336277,evcar,Cars,10.3166,0.007101003064
Ferous metals,galv steel,kg,Body panels,doors,Steel,4.909483853,evcar,Cars,4.5781,0.003151144963
Ferous metals,hot rolled steel,kg,Body panels,doors,Steel,35.87697825,evcar,Cars,33.45532831,0.02302758553
Scrap,"Scrap, Rolled steel",kg,Body panels,doors,Steel,4.307419134,evcar,Cars,4.016673876,0.002764710612
Scrap,"Scrap, EAF steel",kg,Body panels,doors,Steel,2.324483552,evcar,Cars,2.167583899,0.001491966337
Scrap,"Scrap, galv steel",kg,Body panels,doors,Steel,1.031514079,evcar,Cars,0.961888204,0.0006620757889
Scrap,"Scrap, hot rolled steel",kg,Body panels,doors,Steel,7.537983484,evcar,Cars,7.029179283,0.004838243571
Ferous metals,galv steel,kg,Bumpers,doors,Steel,9.043869578,evcar,Cars,8.43342,0.005804794337
Scrap,"Scrap, galv steel",kg,Bumpers,doors,Steel,1.900175066,evcar,Cars,1.77191569,0.001219624561
Ferous metals,EAF steel,kg,Body hardware,doors,Steel,0.3939083045,evcar,Cars,0.36732,0.0002528294637
Ferous metals,stainless steel,kg,Body hardware,doors,Steel,0.08542137722,evcar,Cars,0.079655544,0.00005482758487
Non-ferrous metals,Copper,kg,Body hardware,doors,Copper,0.2140272043,evcar,Cars,0.199580643,0.0001373730451
Glass,Glass,kg,Body hardware,doors,Glass,0.06420816141,evcar,Cars,0.059874193,0.00004121191361
Polymers,Plastic,kg,Body hardware,doors,Plastic,6.595899687,evcar,Cars,6.150684932,0.004233568477
Polymers,Rubber,kg,Body hardware,doors,Rubber,0.2461312845,evcar,Cars,0.229517739,0.0001579790016
Scrap,"Scrap, EAF steel",kg,Body hardware,doors,Steel,0.08276266346,evcar,Cars,0.07717629,0.00005312109336
Scrap,"Scrap, stainless steel",kg,Body hardware,doors,Steel,0.01794757956,evcar,Cars,0.016736141,0.00001151962745
Scrap,"Scrap, glass",kg,Body hardware,doors,Glass,0.003379376577,evcar,Cars,0.003151273,0.000002169047867
Ferous metals,EAF steel,kg,Weld blanks and fasteners (electronics to body),doors,Steel,4.521934658,evcar,Cars,4.216709878,0.002902397085
Polymers,Plastic,kg,Weld blanks and fasteners (electronics to body),doors,Plastic,3.672549937,evcar,Cars,3.424657534,0.002357220755
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (electronics to body),doors,Steel,0.950087505,evcar,Cars,0.885957819,0.0006098122625
Ferous metals,EAF steel,kg,Weld blanks and fasteners (other systems to body),doors,Steel,4.521934658,evcar,Cars,4.216709878,0.002902397085
Polymers,Plastic,kg,Weld blanks and fasteners (other systems to body),doors,Plastic,3.672549937,evcar,Cars,3.424657534,0.002357220755
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (other systems to body),doors,Steel,0.950087505,evcar,Cars,0.885957819,0.0006098122625
Ferous metals,galv steel,kg,"Doors, including trunk lid",doors,Steel,99.73176608,evcar,Cars,93,0.06401268683
Glass,Glass,kg,"Doors, including trunk lid",doors,Glass,0.08026020149,evcar,Cars,0.074842741,0.00005151489184
Polymers,Plastic,kg,"Doors, including trunk lid",doors,Plastic,12.86861498,evcar,Cars,12,0.008259701527
Scrap,"Scrap, galv steel",kg,"Doors, including trunk lid",doors,Steel,20.9542844,evcar,Cars,19.53989712,0.01344947651
Scrap,"Scrap, glass",kg,"Doors, including trunk lid",doors,Glass,0.004224221526,evcar,Cars,0.003939092,0.00000271131035
Glass,Glass,kg,Windscreen glass,doors,Glass,12.43966115,evcar,Cars,11.6,0.007984378142
Scrap,"Scrap, glass",kg,Windscreen glass,doors,Glass,0.6547190079,evcar,Cars,0.610526316,0.0004202304287
Glass,Glass,kg,Rear screen glass,doors,Glass,4.900797538,evcar,Cars,4.57,0.003145569665
Scrap,"Scrap, glass",kg,Rear screen glass,doors,Glass,0.2579367127,evcar,Cars,0.240526316,0.0001655562983
Glass,Glass,kg,Side body glass (6),doors,Glass,13.43697881,evcar,Cars,12.53,0.008624505011
Scrap,"Scrap, glass",kg,Side body glass (6),doors,Glass,0.7072094107,evcar,Cars,0.659473684,0.0004539213162
polymers,Rubber,kg,Tires (x4),wheels,Rubber,19.41580506,evcar,Cars,18.10526316,0.01246200581
Other,Graphite,kg,Tires (x4),wheels,Graphite,8.931270326,evcar,Cars,8.328421053,0.005732522674
Ferrous metals,Steel (tires),kg,Tires (x4),wheels,Steel,6.083618917,evcar,Cars,5.672982456,0.003904761821
Textiles,Textiles,kg,Tires (x4),wheels,Textile,2.071019206,evcar,Cars,1.93122807,0.00132928062
Non-ferrous metals,Zinc oxide,kg,Tires (x4),wheels,Zinc,0.3883161009,evcar,Cars,0.362105263,0.0002492401161
Other,Sulphur,kg,Tires (x4),wheels,Sulphur,0.3883161009,evcar,Cars,0.362105263,0.0002492401161
Other,Additives,kg,Tires (x4),wheels,Other,3.23596751,evcar,Cars,3.01754386,0.002077000969
Ferrous metals,Steel (wheels),kg,Wheels (x4),wheels,Steel,44.26472186,evcar,Cars,41.27691,0.02841124638
Non-ferrous metals,Lead,kg,Wheels (x4),wheels,Lead,0.3217153745,evcar,Cars,0.3,0.0002064925382
Non-ferrous metals,Aluminium,kg,Electronics,electronics,Aluminium,0.002450038066,evcar,Cars,0.00571165911,0.000001572553316
,Barite,kg,Electronics,electronics,Barite,0.001990370495,evcar,Cars,0.004640057609,0.000001277516364
,Brass,kg,Electronics,electronics,Brass,0.0004935005934,evcar,Cars,0.001150474844,0.0000003167526274
,Chromium,kg,Electronics,electronics,Chromium,0.000002967973667,evcar,Cars,0.000006919098143,0.000000001904989517
,Composites,kg,Electronics,electronics,Composites,0.006239856004,evcar,Cars,0.01454668435,0.000004005042364
,Copper,kg,Electronics,electronics,Copper,0.014049058,evcar,Cars,0.03275191158,0.000009017367136
,Glass,kg,Electronics,electronics,Glass,0.0001787514846,evcar,Cars,0.0004167149725,0.0000001147313765
,Gold,kg,Electronics,electronics,Gold,0.0002338782592,evcar,Cars,0.000545229443,0.0000001501144154
,Iron,kg,Electronics,electronics,Iron,0.0001416701799,evcar,Cars,0.0003302690618,0.00000009093079581
,Lead,kg,Electronics,electronics,Lead,0.0007996608527,evcar,Cars,0.001864211931,0.0000005132611378
,Molybdenum,kg,Electronics,electronics,Molybdenum,0.00007717755561,evcar,Cars,0.0001799204244,0.00000004953630014
,Nickel,kg,Electronics,electronics,Nickel,0.0006343360123,evcar,Cars,0.001478797866,0.000000407147633
,Nylon,kg,Electronics,electronics,Nylon,0.001754842165,evcar,Cars,0.004090981432,0.000001126342853
,Palladium,kg,Electronics,electronics,Palladium,0.000007945662913,evcar,Cars,0.00001852335219,0.000000005099912011
,Polyethylene,kg,Electronics,electronics,Polyethylene,0.1480293939,evcar,Cars,0.345094,0.00009501244795
,Polyvinylchloride,kg,Electronics,electronics,Polyvinylchloride,0.01249343051,evcar,Cars,0.02912535,0.000008018889929
,Selenium,kg,Electronics,electronics,Selenium,0.00212761101,evcar,Cars,0.00496,0.000001365603986
,Silica,kg,Electronics,electronics,Silica,0.009829450978,evcar,Cars,0.02291493916,0.0000063090186
,Silicon,kg,Electronics,electronics,Silicon,0.000009008298611,evcar,Cars,0.00002100062507,0.000000005781963165
,Silver,kg,Electronics,electronics,Silver,0.0002791568492,evcar,Cars,0.0006507853014,0.0000001791764116
,Steel,kg,Electronics,electronics,Steel,0.394637526,evcar,Cars,0.92,0.0002532975135
,Tin,kg,Electronics,electronics,Tin,0.001440656647,evcar,Cars,0.003358535436,0.0000009246833423
,Titanium,kg,Electronics,electronics,Titanium,0.001025632129,evcar,Cars,0.002391008194,0.0000006583004676
,Zinc,kg,Electronics,electronics,Zinc,0.0001488117079,evcar,Cars,0.0003469177719,0.000000095514575
