Vehicle,Perioden,Count,Onderwerp,Lifespan
Meet- en peil vaartuig,2005,7,534610,22.6
Meet- en peil vaartuig,2006,7,534610,22.6
Meet- en peil vaartuig,2007,16,534610,22.6
Meet- en peil vaartuig,2008,18,534610,22.6
Meet- en peil vaartuig,2009,13,534610,22.6
Meet- en peil vaartuig,2010,20,534610,22.6
Meet- en peil vaartuig,2011,6,534610,22.6
Meet- en peil vaartuig,2012,8,534610,22.6
Meet- en peil vaartuig,2013,8,534610,22.6
Meet- en peil vaartuig,2014,8,534610,22.6
Meet- en peil vaartuig,2015,19,534610,22.6
Meet- en peil vaartuig,2016,19,534610,22.6
Meet- en peil vaartuig,2017,17,534610,22.6
Meet- en peil vaartuig,2018,4,534610,22.6
Multi purpose vessel,1995,264,11393803,9.2
Multi purpose vessel,1996,293,11393803,9.2
Multi purpose vessel,1997,321,11393803,9.2
Multi purpose vessel,1998,349,11393803,9.2
Multi purpose vessel,1999,373,11393803,9.2
Multi purpose vessel,2000,396,11393803,9.2
Multi purpose vessel,2001,405,11393803,9.2
Multi purpose vessel,2002,421,11393803,9.2
Multi purpose vessel,2003,412,11393803,9.2
Multi purpose vessel,2004,400,11393803,9.2
Multi purpose vessel,2005,370,11393803,9.2
Multi purpose vessel,2006,367,11393803,9.2
Multi purpose vessel,2007,356,11393803,9.2
Multi purpose vessel,2008,412,11393803,9.2
Multi purpose vessel,2009,431,11393803,9.2
Multi purpose vessel,2010,485,11393803,9.2
Multi purpose vessel,2011,520,11393803,9.2
Multi purpose vessel,2012,542,11393803,9.2
Multi purpose vessel,2013,571,11393803,9.2
Multi purpose vessel,2014,561,11393803,9.2
Multi purpose vessel,2015,554,11393803,9.2
Multi purpose vessel,2016,544,11393803,9.2
Multi purpose vessel,2017,527,11393803,9.2
Multi purpose vessel,2018,517,11393803,9.2
Offshore support vessel,1995,17,5989108,12.9
Offshore support vessel,1996,13,5989108,12.9
Offshore support vessel,1997,10,5989108,12.9
Offshore support vessel,1998,11,5989108,12.9
Offshore support vessel,1999,11,5989108,12.9
Offshore support vessel,2000,13,5989108,12.9
Offshore support vessel,2001,13,5989108,12.9
Offshore support vessel,2002,15,5989108,12.9
Offshore support vessel,2003,10,5989108,12.9
Offshore support vessel,2004,10,5989108,12.9
Offshore support vessel,2005,8,5989108,12.9
Offshore support vessel,2006,7,5989108,12.9
Offshore support vessel,2007,16,5989108,12.9
Offshore support vessel,2008,13,5989108,12.9
Offshore support vessel,2009,15,5989108,12.9
Offshore support vessel,2010,20,5989108,12.9
Offshore support vessel,2011,14,5989108,12.9
Offshore support vessel,2012,17,5989108,12.9
Offshore support vessel,2013,18,5989108,12.9
Offshore support vessel,2014,19,5989108,12.9
Offshore support vessel,2015,32,5989108,12.9
Offshore support vessel,2016,34,5989108,12.9
Offshore support vessel,2017,38,5989108,12.9
Offshore support vessel,2018,35,5989108,12.9
Olie/chemicalien tanker,1995,38,19934570,11.1
Olie/chemicalien tanker,1996,49,19934570,11.1
Olie/chemicalien tanker,1997,41,19934570,11.1
Olie/chemicalien tanker,1998,43,19934570,11.1
Olie/chemicalien tanker,1999,41,19934570,11.1
Olie/chemicalien tanker,2000,45,19934570,11.1
Olie/chemicalien tanker,2001,46,19934570,11.1
Olie/chemicalien tanker,2002,46,19934570,11.1
Olie/chemicalien tanker,2003,48,19934570,11.1
Olie/chemicalien tanker,2004,47,19934570,11.1
Olie/chemicalien tanker,2005,44,19934570,11.1
Olie/chemicalien tanker,2006,46,19934570,11.1
Olie/chemicalien tanker,2007,50,19934570,11.1
Olie/chemicalien tanker,2008,56,19934570,11.1
Olie/chemicalien tanker,2009,64,19934570,11.1
Olie/chemicalien tanker,2010,64,19934570,11.1
Olie/chemicalien tanker,2011,61,19934570,11.1
Olie/chemicalien tanker,2012,61,19934570,11.1
Olie/chemicalien tanker,2013,59,19934570,11.1
Olie/chemicalien tanker,2014,57,19934570,11.1
Olie/chemicalien tanker,2015,54,19934570,11.1
Olie/chemicalien tanker,2016,51,19934570,11.1
Olie/chemicalien tanker,2017,51,19934570,11.1
Olie/chemicalien tanker,2018,49,19934570,11.1
Overheids schip,2007,65,505816,18.3
Overheids schip,2008,28,505816,18.3
Overheids schip,2009,33,505816,18.3
Overheids schip,2010,31,505816,18.3
Overheids schip,2011,84,505816,18.3
Overheids schip,2018,32,505816,18.3
Overig,2008,4,3260956,29.3
Overig,2009,6,3260956,29.3
Overig,2010,6,3260956,29.3
Overig,2011,10,3260956,29.3
Personeelsvervoer,1995,1,352245,17.0
Personeelsvervoer,1996,2,352245,17.0
Personeelsvervoer,1997,3,352245,17.0
Personeelsvervoer,1998,3,352245,17.0
Personeelsvervoer,1999,3,352245,17.0
Personeelsvervoer,2000,4,352245,17.0
Personeelsvervoer,2001,4,352245,17.0
Personeelsvervoer,2002,6,352245,17.0
Personeelsvervoer,2003,4,352245,17.0
Personeelsvervoer,2004,5,352245,17.0
Personeelsvervoer,2005,3,352245,17.0
Personeelsvervoer,2006,3,352245,17.0
Personeelsvervoer,2007,25,352245,17.0
Personeelsvervoer,2008,25,352245,17.0
Personeelsvervoer,2009,26,352245,17.0
Personeelsvervoer,2010,31,352245,17.0
Personeelsvervoer,2011,7,352245,17.0
Personeelsvervoer,2012,7,352245,17.0
Personeelsvervoer,2013,7,352245,17.0
Personeelsvervoer,2014,8,352245,17.0
Personeelsvervoer,2015,42,352245,17.0
Personeelsvervoer,2016,46,352245,17.0
Personeelsvervoer,2017,45,352245,17.0
Personeelsvervoer,2018,12,352245,17.0
Ro-Ro Vessel,1995,10,42563489,16.0
Ro-Ro Vessel,1996,10,42563489,16.0
Ro-Ro Vessel,1997,10,42563489,16.0
Ro-Ro Vessel,1998,10,42563489,16.0
Ro-Ro Vessel,1999,13,42563489,16.0
Ro-Ro Vessel,2000,16,42563489,16.0
Ro-Ro Vessel,2001,15,42563489,16.0
Ro-Ro Vessel,2002,15,42563489,16.0
Ro-Ro Vessel,2003,12,42563489,16.0
Ro-Ro Vessel,2004,11,42563489,16.0
Ro-Ro Vessel,2005,12,42563489,16.0
Ro-Ro Vessel,2006,14,42563489,16.0
Ro-Ro Vessel,2007,13,42563489,16.0
Ro-Ro Vessel,2008,16,42563489,16.0
Ro-Ro Vessel,2009,15,42563489,16.0
Ro-Ro Vessel,2010,13,42563489,16.0
Ro-Ro Vessel,2011,13,42563489,16.0
Ro-Ro Vessel,2012,14,42563489,16.0
Ro-Ro Vessel,2013,14,42563489,16.0
Ro-Ro Vessel,2014,14,42563489,16.0
Ro-Ro Vessel,2015,11,42563489,16.0
Ro-Ro Vessel,2016,11,42563489,16.0
Ro-Ro Vessel,2017,12,42563489,16.0
Ro-Ro Vessel,2018,9,42563489,16.0
Sleephopper zuiger,1995,60,18336320,22.4
Sleephopper zuiger,1996,60,18336320,22.4
Sleephopper zuiger,1997,61,18336320,22.4
Sleephopper zuiger,1998,63,18336320,22.4
Sleephopper zuiger,1999,64,18336320,22.4
Sleephopper zuiger,2000,63,18336320,22.4
Sleephopper zuiger,2001,67,18336320,22.4
Sleephopper zuiger,2002,68,18336320,22.4
Sleephopper zuiger,2003,70,18336320,22.4
Sleephopper zuiger,2004,71,18336320,22.4
Sleephopper zuiger,2005,65,18336320,22.4
Sleephopper zuiger,2006,65,18336320,22.4
Sleephopper zuiger,2007,63,18336320,22.4
Sleephopper zuiger,2008,50,18336320,22.4
Sleephopper zuiger,2009,46,18336320,22.4
Sleephopper zuiger,2010,46,18336320,22.4
Sleephopper zuiger,2011,47,18336320,22.4
Sleephopper zuiger,2012,50,18336320,22.4
Sleephopper zuiger,2013,49,18336320,22.4
Sleephopper zuiger,2014,47,18336320,22.4
Sleephopper zuiger,2015,46,18336320,22.4
Sleephopper zuiger,2016,48,18336320,22.4
Sleephopper zuiger,2017,51,18336320,22.4
Sleephopper zuiger,2018,48,18336320,22.4
Snijkop zuiger,1995,27,4696963,29.1
Snijkop zuiger,1996,27,4696963,29.1
Snijkop zuiger,1997,29,4696963,29.1
Snijkop zuiger,1998,27,4696963,29.1
Snijkop zuiger,1999,25,4696963,29.1
Snijkop zuiger,2000,23,4696963,29.1
Snijkop zuiger,2001,22,4696963,29.1
Snijkop zuiger,2002,24,4696963,29.1
Snijkop zuiger,2003,23,4696963,29.1
Snijkop zuiger,2004,24,4696963,29.1
Snijkop zuiger,2005,22,4696963,29.1
Snijkop zuiger,2006,24,4696963,29.1
Snijkop zuiger,2007,22,4696963,29.1
Snijkop zuiger,2008,17,4696963,29.1
Snijkop zuiger,2009,19,4696963,29.1
Snijkop zuiger,2010,19,4696963,29.1
Snijkop zuiger,2011,20,4696963,29.1
Snijkop zuiger,2012,19,4696963,29.1
Snijkop zuiger,2013,19,4696963,29.1
Snijkop zuiger,2014,17,4696963,29.1
Snijkop zuiger,2015,16,4696963,29.1
Snijkop zuiger,2016,15,4696963,29.1
Snijkop zuiger,2017,15,4696963,29.1
Snijkop zuiger,2018,13,4696963,29.1
Splijtbak / Omnibarge,1995,16,2341114,17.0
Splijtbak / Omnibarge,1996,14,2341114,17.0
Splijtbak / Omnibarge,1997,14,2341114,17.0
Splijtbak / Omnibarge,1998,14,2341114,17.0
Splijtbak / Omnibarge,1999,12,2341114,17.0
Splijtbak / Omnibarge,2000,19,2341114,17.0
Splijtbak / Omnibarge,2001,21,2341114,17.0
Splijtbak / Omnibarge,2002,18,2341114,17.0
Splijtbak / Omnibarge,2003,19,2341114,17.0
Splijtbak / Omnibarge,2004,22,2341114,17.0
Splijtbak / Omnibarge,2005,22,2341114,17.0
Splijtbak / Omnibarge,2006,21,2341114,17.0
Splijtbak / Omnibarge,2007,25,2341114,17.0
Splijtbak / Omnibarge,2008,23,2341114,17.0
Splijtbak / Omnibarge,2009,24,2341114,17.0
Splijtbak / Omnibarge,2010,20,2341114,17.0
Splijtbak / Omnibarge,2011,25,2341114,17.0
Splijtbak / Omnibarge,2012,26,2341114,17.0
Splijtbak / Omnibarge,2013,25,2341114,17.0
Splijtbak / Omnibarge,2014,26,2341114,17.0
Splijtbak / Omnibarge,2015,30,2341114,17.0
Splijtbak / Omnibarge,2016,26,2341114,17.0
Splijtbak / Omnibarge,2017,32,2341114,17.0
Splijtbak / Omnibarge,2018,32,2341114,17.0
Steen storter schip,1995,11,26292656,31.3
Steen storter schip,1996,10,26292656,31.3
Steen storter schip,1997,11,26292656,31.3
Steen storter schip,1998,11,26292656,31.3
Steen storter schip,1999,12,26292656,31.3
Steen storter schip,2000,12,26292656,31.3
Steen storter schip,2001,12,26292656,31.3
Steen storter schip,2002,13,26292656,31.3
Steen storter schip,2003,11,26292656,31.3
Steen storter schip,2004,11,26292656,31.3
Steen storter schip,2005,11,26292656,31.3
Steen storter schip,2006,9,26292656,31.3
Steen storter schip,2007,8,26292656,31.3
Steen storter schip,2008,6,26292656,31.3
Steen storter schip,2009,6,26292656,31.3
Steen storter schip,2010,6,26292656,31.3
Steen storter schip,2011,7,26292656,31.3
Steen storter schip,2012,7,26292656,31.3
Steen storter schip,2013,6,26292656,31.3
Steen storter schip,2014,6,26292656,31.3
Steen storter schip,2015,6,26292656,31.3
Steen storter schip,2016,6,26292656,31.3
Steen storter schip,2017,6,26292656,31.3
Steen storter schip,2018,6,26292656,31.3
Transport ponton,1995,28,4727049,17.9
Transport ponton,1996,31,4727049,17.9
Transport ponton,1997,31,4727049,17.9
Transport ponton,1998,28,4727049,17.9
Transport ponton,1999,26,4727049,17.9
Transport ponton,2000,23,4727049,17.9
Transport ponton,2001,25,4727049,17.9
Transport ponton,2002,26,4727049,17.9
Transport ponton,2003,24,4727049,17.9
Transport ponton,2004,23,4727049,17.9
Transport ponton,2005,22,4727049,17.9
Transport ponton,2006,22,4727049,17.9
Transport ponton,2007,80,4727049,17.9
Transport ponton,2008,59,4727049,17.9
Transport ponton,2009,52,4727049,17.9
Transport ponton,2010,56,4727049,17.9
Transport ponton,2011,16,4727049,17.9
Transport ponton,2012,67,4727049,17.9
Transport ponton,2013,69,4727049,17.9
Transport ponton,2014,72,4727049,17.9
Transport ponton,2015,192,4727049,17.9
Transport ponton,2016,187,4727049,17.9
Transport ponton,2017,193,4727049,17.9
Transport ponton,2018,72,4727049,17.9
Veer schip,1995,6,110645864,13.2
Veer schip,1996,5,110645864,13.2
Veer schip,1997,5,110645864,13.2
Veer schip,1998,5,110645864,13.2
Veer schip,1999,5,110645864,13.2
Veer schip,2000,5,110645864,13.2
Veer schip,2001,7,110645864,13.2
Veer schip,2002,6,110645864,13.2
Veer schip,2003,6,110645864,13.2
Veer schip,2004,6,110645864,13.2
Veer schip,2005,6,110645864,13.2
Veer schip,2006,6,110645864,13.2
Veer schip,2007,5,110645864,13.2
Veer schip,2008,6,110645864,13.2
Veer schip,2009,6,110645864,13.2
Veer schip,2010,6,110645864,13.2
Veer schip,2011,8,110645864,13.2
Veer schip,2012,8,110645864,13.2
Veer schip,2013,7,110645864,13.2
Veer schip,2014,7,110645864,13.2
Veer schip,2015,7,110645864,13.2
Veer schip,2016,6,110645864,13.2
Veer schip,2017,6,110645864,13.2
Veer schip,2018,5,110645864,13.2
Vissers schip,1995,10.2,1285004,29.6
Vissers schip,1996,10.2,1285004,29.6
Vissers schip,1997,10.2,1285004,29.6
Vissers schip,1998,10.2,1285004,29.6
Vissers schip,1999,10.2,1285004,29.6
Vissers schip,2000,10.2,1285004,29.6
Vissers schip,2001,10.2,1285004,29.6
Vissers schip,2002,10.2,1285004,29.6
Vissers schip,2003,10.2,1285004,29.6
Vissers schip,2004,10.2,1285004,29.6
Vissers schip,2005,10.2,1285004,29.6
Vissers schip,2006,10.2,1285004,29.6
Vissers schip,2007,373,1285004,29.6
Vissers schip,2008,407,1285004,29.6
Vissers schip,2009,407,1285004,29.6
Vissers schip,2010,404,1285004,29.6
Vissers schip,2011,393,1285004,29.6
Vissers schip,2012,10.2,1285004,29.6
Vissers schip,2013,10.2,1285004,29.6
Vissers schip,2014,10.2,1285004,29.6
Vissers schip,2015,10.2,1285004,29.6
Vissers schip,2016,10.2,1285004,29.6
Vissers schip,2017,10.2,1285004,29.6
Vissers schip,2018,10.2,1285004,29.6
Werk ponton,1995,11,2781391,13.6
Werk ponton,1996,11,2781391,13.6
Werk ponton,1997,11,2781391,13.6
Werk ponton,1998,12,2781391,13.6
Werk ponton,1999,12,2781391,13.6
Werk ponton,2000,13,2781391,13.6
Werk ponton,2001,15,2781391,13.6
Werk ponton,2002,18,2781391,13.6
Werk ponton,2003,12,2781391,13.6
Werk ponton,2004,13,2781391,13.6
Werk ponton,2005,13,2781391,13.6
Werk ponton,2006,13,2781391,13.6
Werk ponton,2007,105,2781391,13.6
Werk ponton,2008,113,2781391,13.6
Werk ponton,2009,137,2781391,13.6
Werk ponton,2010,142,2781391,13.6
Werk ponton,2011,48,2781391,13.6
Werk ponton,2012,3,2781391,13.6
Werk ponton,2013,4,2781391,13.6
Werk ponton,2014,4,2781391,13.6
Werk ponton,2015,16,2781391,13.6
Werk ponton,2016,14,2781391,13.6
Werk ponton,2017,15,2781391,13.6
Werk ponton,2018,4,2781391,13.6
Werk schip,2007,33,1322687,17.3
Werk schip,2008,29,1322687,17.3
Werk schip,2009,26,1322687,17.3
Werk schip,2010,29,1322687,17.3
Werk schip,2011,28,1322687,17.3
Werk schip,2012,35,1322687,17.3
Werk schip,2013,36,1322687,17.3
Werk schip,2014,38,1322687,17.3
Werk schip,2015,51,1322687,17.3
Werk schip,2016,54,1322687,17.3
Werk schip,2017,52,1322687,17.3
Werk schip,2018,42,1322687,17.3
Zuiger schip,1995,16,2327329,43.5
Zuiger schip,1996,18,2327329,43.5
Zuiger schip,1997,19,2327329,43.5
Zuiger schip,1998,18,2327329,43.5
Zuiger schip,1999,23,2327329,43.5
Zuiger schip,2000,24,2327329,43.5
Zuiger schip,2001,24,2327329,43.5
Zuiger schip,2002,24,2327329,43.5
Zuiger schip,2003,22,2327329,43.5
Zuiger schip,2004,21,2327329,43.5
Zuiger schip,2005,21,2327329,43.5
Zuiger schip,2006,19,2327329,43.5
Zuiger schip,2007,14,2327329,43.5
Zuiger schip,2008,7,2327329,43.5
Zuiger schip,2009,8,2327329,43.5
Zuiger schip,2010,8,2327329,43.5
Zuiger schip,2011,8,2327329,43.5
Zuiger schip,2012,9,2327329,43.5
Zuiger schip,2013,8,2327329,43.5
Zuiger schip,2014,8,2327329,43.5
Zuiger schip,2015,8,2327329,43.5
Zuiger schip,2016,8,2327329,43.5
Zuiger schip,2017,8,2327329,43.5
Zuiger schip,2018,8,2327329,43.5
Zware lading schip,1995,7,31092028,12.5
Zware lading schip,1996,7,31092028,12.5
Zware lading schip,1997,9,31092028,12.5
Zware lading schip,1998,10,31092028,12.5
Zware lading schip,1999,10,31092028,12.5
Zware lading schip,2000,10,31092028,12.5
Zware lading schip,2001,15,31092028,12.5
Zware lading schip,2002,16,31092028,12.5
Zware lading schip,2003,16,31092028,12.5
Zware lading schip,2004,13,31092028,12.5
Zware lading schip,2005,16,31092028,12.5
Zware lading schip,2006,16,31092028,12.5
Zware lading schip,2007,17,31092028,12.5
Zware lading schip,2008,16,31092028,12.5
Zware lading schip,2009,16,31092028,12.5
Zware lading schip,2010,16,31092028,12.5
Zware lading schip,2011,16,31092028,12.5
Zware lading schip,2012,17,31092028,12.5
Zware lading schip,2013,20,31092028,12.5
Zware lading schip,2014,23,31092028,12.5
Zware lading schip,2015,23,31092028,12.5
Zware lading schip,2016,19,31092028,12.5
Zware lading schip,2017,24,31092028,12.5
Zware lading schip,2018,25,31092028,12.5
