Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Nonferrous metals,"Aluminium, wrought alloy",2.7429E-03,ev,Cars,Powertrain,Transmission (HEV/FCV),20%
Nonferrous metals,Copper,2.6058E-03,ev,Cars,Powertrain,Transmission (HEV/FCV),19%
Organic,Organic,4.1143E-05,ev,Cars,Powertrain,Transmission (HEV/FCV),0.3%
Polymers,Plastic,2.7429E-05,ev,Cars,Powertrain,Transmission (HEV/FCV),0.2%
Ferrous metals,Steel,1.0905E-02,ev,Cars,Chassis,Cradle,100%
Ferrous metals,Steel,2.6933E-02,ev,Cars,Chassis,Driveshaft/axle,100%
Ferrous metals,Steel,9.0879E-03,ev,Cars,Chassis,Differential,100%
Ferrous metals,Steel,1.4871E-02,ev,Cars,Chassis,Corner suspension,100%
Ferrous metals,Iron,8.3278E-03,ev,Cars,Chassis,Braking system,60%
Ferrous metals,Steel,4.8579E-03,ev,Cars,Chassis,Braking system,35%
Ceramics,Friction Material,6.9399E-04,ev,Cars,Chassis,Braking system,5%
Ferrous metals,Steel,1.5036E-02,ev,Cars,Chassis,Wheels,100%
Polymers,Rubber,9.9636E-03,ev,Cars,Chassis,Tires,67%
Ferrous metals,Steel,4.9075E-03,ev,Cars,Chassis,Tires,33%
Ferrous metals,Steel,6.4772E-03,ev,Cars,Chassis,Steering system,80%
Nonferrous metals,"Aluminium, wrought alloy",1.2145E-03,ev,Cars,Chassis,Steering system,15%
Polymers,Rubber,4.0482E-04,ev,Cars,Chassis,Steering system,5%
Polymers,Plastic,2.1447E-03,ev,Cars,Chassis,Chassis electrical,59%
Nonferrous metals,Copper,1.4904E-03,ev,Cars,Chassis,Chassis electrical,41%
Ferrous metals,Steel,3.6352E-03,ev,Cars,Chassis,Weld blanks and fasteners (chassis to body),100%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Chassis,Generator,36.1%
Nonferrous metals,"Aluminium, cast alloy",0.0000E+00,ev,Cars,Chassis,Generator,36.1%
Nonferrous metals,Copper,0.0000E+00,ev,Cars,Chassis,Generator,27.3%
Ferrous metals,Steel,1.0081E-02,ev,Cars,Chassis,Motor,36.1%
Nonferrous metals,"Aluminium, cast alloy",1.0081E-02,ev,Cars,Chassis,Motor,36.1%
Nonferrous metals,Copper,7.6234E-03,ev,Cars,Chassis,Motor,27.3%
Ferrous metals,Steel,1.2310E-03,ev,Cars,Chassis,Controller/inverter,5.0%
Nonferrous metals,"Aluminium, cast alloy",1.1571E-02,ev,Cars,Chassis,Controller/inverter,47.0%
Nonferrous metals,Copper,2.0188E-03,ev,Cars,Chassis,Controller/inverter,8.2%
Polymers,Rubber,9.1094E-04,ev,Cars,Chassis,Controller/inverter,3.7%
Polymers,Plastic,5.8596E-03,ev,Cars,Chassis,Controller/inverter,23.8%
Organic,Organic,3.0283E-03,ev,Cars,Chassis,Controller/inverter,12.3%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),36.8%
Composites,Carbon Fiber Composite,0.0000E+00,ev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),25.7%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,ev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),16.7%
Nonferrous metals,Copper,0.0000E+00,ev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),9.6%
Polymers,Plastic,0.0000E+00,ev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),8.7%
Polymers,Rubber,0.0000E+00,ev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),1.5%
Nonferrous metals,Lead,2.5083E-03,ev,Cars,Battery,Pb-Ac Battery,69%
Organic,Water,5.1256E-04,ev,Cars,Battery,Pb-Ac Battery,14.1%
Chemicals,Sulfuric Acid,2.8718E-04,ev,Cars,Battery,Pb-Ac Battery,7.9%
Polymers,Plastic,2.2174E-04,ev,Cars,Battery,Pb-Ac Battery,6.1%
Composites,Fiberglass,7.6338E-05,ev,Cars,Battery,Pb-Ac Battery,2.1%
Other,Other,2.9081E-05,ev,Cars,Battery,Pb-Ac Battery,0.8%
Nonferrous metals,Nickel,9.9576E-02,ev,Cars,Battery,Ni-MH Battery,28.2%
Ferrous metals,Steel,8.3686E-02,ev,Cars,Battery,Ni-MH Battery,23.7%
Polymers,Plastic,7.9449E-02,ev,Cars,Battery,Ni-MH Battery,22.5%
Ferrous metals,Iron,4.2373E-02,ev,Cars,Battery,Ni-MH Battery,12%
"Critical Raw Materials, CRM",Rare Earth Metals,2.2246E-02,ev,Cars,Battery,Ni-MH Battery,6.3%
Nonferrous metals,Copper,1.3771E-02,ev,Cars,Battery,Ni-MH Battery,3.9%
"Critical Raw Materials, CRM",Cobalt,6.3559E-03,ev,Cars,Battery,Ni-MH Battery,1.8%
"Critical Raw Materials, CRM",Magnesium,3.5311E-03,ev,Cars,Battery,Ni-MH Battery,1%
Nonferrous metals,"Aluminium, wrought alloy",1.7655E-03,ev,Cars,Battery,Ni-MH Battery,0.5%
Polymers,Rubber,3.5311E-04,ev,Cars,Battery,Ni-MH Battery,0.1%
"Critical Raw Materials, CRM",Limn2O4,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,27.0%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,23.7%
Nonferrous metals,Copper,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,13.2%
"Critical Raw Materials, CRM",Graphite/Carbon,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,12.2%
Polymers,Plastic,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,4.5%
Polymers,Ethylene Carbonate,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,4.4%
Polymers,Dimethyl Carbonate,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,4.4%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,2.8%
Polymers,Glycol,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,2.3%
Polymers,Binder,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,2.1%
"Critical Raw Materials, CRM",Lipf6,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,1.5%
Minerals,Electronicparts,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,1.5%
Insulation,Thermal Insulation,0.0000E+00,ev,Cars,Battery,Li-Ion HEV Battery,0.4%
"Critical Raw Materials, CRM",Limn2O4,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,27.8%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,22.9%
Nonferrous metals,Copper,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,14.8%
"Critical Raw Materials, CRM",Graphite/Carbon,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,12.2%
Polymers,Ethylene Carbonate,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,4.9%
Polymers,Dimethyl Carbonate,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,4.9%
Polymers,Plastic,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,4.3%
Polymers,Binder,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,2.1%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,1.9%
"Critical Raw Materials, CRM",Lipf6,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,1.7%
Polymers,Glycol,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,1.3%
Minerals,Electronicparts,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,0.9%
Insulation,Thermal Insulation,0.0000E+00,ev,Cars,Battery,Li-Ion PHEV Battery,0.3%
"Critical Raw Materials, CRM",Limn2O4,7.5167E-02,ev,Cars,Battery,Li-Ion EV Battery,33.4%
Nonferrous metals,"Aluminium, wrought alloy",4.2984E-02,ev,Cars,Battery,Li-Ion EV Battery,19.1%
"Critical Raw Materials, CRM",Graphite/Carbon,3.2857E-02,ev,Cars,Battery,Li-Ion EV Battery,14.6%
Nonferrous metals,Copper,2.4530E-02,ev,Cars,Battery,Li-Ion EV Battery,10.9%
Polymers,Ethylene Carbonate,1.1928E-02,ev,Cars,Battery,Li-Ion EV Battery,5.3%
Polymers,Dimethyl Carbonate,1.1928E-02,ev,Cars,Battery,Li-Ion EV Battery,5.3%
Polymers,Plastic,7.2016E-03,ev,Cars,Battery,Li-Ion EV Battery,3.2%
Polymers,Binder,5.6262E-03,ev,Cars,Battery,Li-Ion EV Battery,2.5%
"Critical Raw Materials, CRM",Lipf6,4.0509E-03,ev,Cars,Battery,Li-Ion EV Battery,1.8%
Ferrous metals,Steel,3.1507E-03,ev,Cars,Battery,Li-Ion EV Battery,1.4%
Minerals,Electronicparts,2.7006E-03,ev,Cars,Battery,Li-Ion EV Battery,1.2%
Polymers,Glycol,2.2505E-03,ev,Cars,Battery,Li-Ion EV Battery,1.0%
Insulation,Thermal Insulation,6.7515E-04,ev,Cars,Battery,Li-Ion EV Battery,0.3%
