Material Group,Material,Unitmass,Vehicle,Class,Component Group,Component,Part Name,A330mass,Partmass,Simapro Material Name,Scaledmass
Composites,Composites,1.247251E-02,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Box,box,1270,0.01272033982,Composites,726.3695649
Nonferrous metals,Aluminium,6.579985E-04,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Box,box,67,0.0006710730458,"Aluminium alloy, AlMg3, at plant/RER U",38.32028413
Composites,Composites,2.651636E-03,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Elevator,elevator,270,0.002704324214,Composites,154.4250256
Composites,Composites,1.787399E-03,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Removable leading edge,removable leading edge,182,0.001822914841,Composites,104.0939062
Nonferrous metals,Aluminium,3.339097E-04,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Tip,tip,34,0.0003405445307,"Aluminium alloy, AlMg3, at plant/RER U",19.44611434
Composites,Composites,5.303271E-04,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Tailplane fuselage fairing,Tail fuselage fairing,54,0.0005408648429,"Glass fibre reinforced plastic, polyamide, injection moulding, at plant/RER U",30.88500512
Composites,Composites,2.651636E-03,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Elevator,elevator,270,0.002704324214,Composites,154.4250256
Composites,Composites,1.787399E-03,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Removable leading edge,removable leading edge,182,0.001822914841,Composites,104.0939062
Nonferrous metals,Aluminium,3.339097E-04,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Tip,tip,34,0.0003405445307,"Aluminium alloy, AlMg3, at plant/RER U",19.44611434
Composites,Composites,5.303271E-04,A330,Aircraft,Horizontal stabiliser,Horizontal Tail - Tailplane fuselage fairing,Tail fuselage fairing,54,0.0005408648429,"Glass fibre reinforced plastic, polyamide, injection moulding, at plant/RER U",30.88500512
Nonferrous metals,Aluminium,3.612706E-01,A330,Aircraft,Wings,Wings,Wings,36786,0.3684491502,"Aluminium alloy, AlMg3, at plant/RER U",21039.55182
Ferrous metals,Steel,1.214842E-02,A330,Aircraft,Wings,Wings,Wings,1237,0.01238981131,"Reinforcing steel, at plant/RER U",707.4953951
Composites,Composites,3.297849E-02,A330,Aircraft,Wings,Wings,Wings,3358,0.03363378041,"Glass fibre reinforced plastic, polyamide, injection moulding, at plant/RER U",1920.589763
Nonferrous metals,Titanium,2.299066E-02,A330,Aircraft,Wings,Wings,Wings,2341,0.02344749254,"Titanium zinc plate, without pre-weathering, at plant/DE U",1338.922167
"Critical Raw Materials, CRM",Magnesium,1.007782E-02,A330,Aircraft,Engine,CRM,CRM,,,,586.9082498
Ferrous metals,Chromium,3.484604E-03,A330,Aircraft,Engine,CRM,CRM,,,,202.9351699
Nonferrous metals,Aluminium,2.489003E-03,A330,Aircraft,Engine,CRM,CRM,,,,144.9536928
"Critical Raw Materials, CRM",Cobalt,1.371600E-03,A330,Aircraft,Engine,CRM,CRM,,,,79.8787371
Nonferrous metals,Molybdenum,9.956013E-04,A330,Aircraft,Engine,CRM,CRM,,,,57.98147712
"Critical Raw Materials, CRM",Columbium,6.248987E-04,A330,Aircraft,Engine,CRM,CRM,,,,36.39262926
"Critical Raw Materials, CRM",Tantalum,1.747598E-04,A330,Aircraft,Engine,CRM,CRM,,,,10.17759971
"Critical Raw Materials, CRM",Tungsten,1.218023E-04,A330,Aircraft,Engine,CRM,CRM,,,,7.093478584
"Critical Raw Materials, CRM",Vanadium,9.002778E-05,A330,Aircraft,Engine,CRM,CRM,,,,5.24300591
"Critical Raw Materials, CRM",Rhenium,4.236601E-05,A330,Aircraft,Engine,CRM,CRM,,,,2.467296899
"Critical Raw Materials, CRM",Hafnium,1.059150E-05,A330,Aircraft,Engine,CRM,CRM,,,,0.6168242247
